"uri","label","skos_pref_label","skos_alt_label","iao_definition","iao_alternative_term","rdf_comment","oio_exact_synonym","oio_related_synonym","iao_preferred_label","oio_broad_synonym","obo_external_ontology_notes","obo_homology_notes","skos_definition","chebi_formula","apollo_label","oio_synonym","oio_narrow_synonym","iao_obo_unique_label","dc_description","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/GAZ_00000457","['Africa']","","","['A continent that is surrounded by the Mediterranean Sea to the north, the Suez Canal and the Red Sea to the northeast, the Indian Ocean to the southeast, and the Atlantic Ocean to the west. There are 46 countries including Madagascar, and 53 including all the island groups.']","['africa']","['LanguaL curation note: US FDA 1995 Code:  QM']","","","","","","","","","","","","","","['Africa']",1,4,54.34861250897134,54.262862314191125,82.24711935589224
"http://snomed.info/id/223534000","['Kenya (geographic location)']","['Kenya']","","","","","","","","","","","","","","","","","","['Kenya']",1,1,47.895871278924794,47.895871278924794,47.895871278924794
"http://purl.obolibrary.org/obo/GAZ_00000912","['Nigeria']","","","['A federal constitutional republic comprising thirty-six states and one Federal Capital Territory. The country is located in West Africa and shares land borders with the Republic of Benin in the west, Chad and Cameroon in the east, and Niger in the north. Its coast lies on the Gulf of Guinea, part of the Atlantic Ocean, in the south. The capital city is Abuja. Nigeria is divided into thirty-six states and one Federal Capital Territory, which are further sub-divided into 774 Local Government Areas (LGAs).']","['nigeria']","['LanguaL curation note: US FDA 1995 Code:  NG']","['Federal Republic of Nigeria', 'Republic nde Naigeria', 'Republik Federaal bu Niiseriya', 'Republik Nijeriya']","","","","","","","","","","","","","['Nigeria']",1,1,47.40481458022565,47.40481458022565,47.40481458022565
"http://purl.obolibrary.org/obo/ENVO_01001481","['public prision']","","","['A public prison is a building which used to forcibly confine humans and deprive them of selected rights and freedoms, under the authority of a state.']","","","['correctional facility']","['jail', 'detention center', 'gaol', 'penitentiary', 'remand center']","","","","","","","","","","","","['public authority', 'public']",2,3,14.687827499636628,13.31099933651928,37.01493864715732
"http://snomed.info/id/306151002","['Referral to public health service (procedure)']","['Referral to public health service']","['Refer to public health', 'Referral to community medicine service']","","","","","","","","","","","","","","","","","['public health service', 'public health', 'health service', 'veterinary public health']",4,5,7.071859121607023,4.64154403877564,30.08939586112683
"http://purl.obolibrary.org/obo/NCIT_C25464","['Country']","","","['A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states.']","","['Damion\'s note: countries are considered material entities, but at moment ENVO ""national geopolitical entity"" is a site. It will need to be moved to a material entity in order for countries to be placed under it. For now, we use NCIT\'s ""Country"" term.']","","","","","","","","","","","","","","['country', 'Nigeria']",2,2,19.18885874415848,12.027113040056047,29.61422605586559
"http://snomed.info/id/223532001","['East African country (geographic location)']","['East African country']","","","","","","","","","","","","","","","","","","['Uganda', 'Kenya']",2,2,13.990160831386948,10.264970622836891,25.27532247091065
"http://snomed.info/id/273930001","['World Health Organization handicap scale (assessment scale)']","['World Health Organisation (WHO) handicap scale', 'World Health Organization (WHO) handicap scale']","['WHO handicap scale', 'World Health Organisation handicap scale', 'World Health Organization handicap scale']","","","","","","","","","","","","","","","","","['World Health Organisation']",1,1,25.254977223672903,25.254977223672903,25.254977223672903
"http://purl.obolibrary.org/obo/GAZ_00000013","['continent']","","","[""One of the large, unbroken masses of land into which the Earth's surface is divided.""]","","","['CONTIN', 'continent {alternative name}', 'Continent {alternative name}', 'continental region']","","","","","","","","","","","","","['Africa']",1,4,15.15755153842647,15.13363624534338,22.93830316860918
"http://snomed.info/id/223538002","['Uganda (geographic location)']","['Uganda']","","","","","","","","","","","","","","","","","","['Uganda']",1,1,22.389198000668234,22.389198000668234,22.389198000668234
"http://purl.obolibrary.org/obo/UBERON_0001913","['milk']","","","['An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.']","","['LanguaL curation note: See scope note for *MILK OR MILK COMPONENT*. for lowfat milk use *FAT PARTIALLY REMOVED*; for skim milk, use *FAT FULLY REMOVED* (both found in D3. TREATMENT APPLIED).', 'LanguaL term definition: Milk is a secretion from the mammary glands of female mammals.']","['mammary gland milk', 'mammal milk']","","['milk']","","['ncit:Milk refers specifically to cow milk']","['The detailed similarities of mammary glands in living monotremes, marsupials, and eutherians argue for a monophyletic origin of these glands, perhaps by the combination of parts of preexisting sebaceous and sweat glands.[well established][VHOG]']","","","","","","","","['milk']",1,1,19.91688583083944,19.91688583083944,19.91688583083944
